text,department,section,priority,time_bucket
"need rail joint repair on Kanpur Central section tomorrow in the afternoon, non-urgent",engg,AGC-CNB,low,afternoon
High priority rail fracture repair required near near New Delhi tonight during the evening,engg,NDLS-MTJ,high,evening
"We need to need traction transformer check on near New Delhi in a week in the evening, asap",trd,NDLS-MTJ,critical,evening
"We need to need signal failure attention on Bhopal to Itarsi next thursday in the afternoon, high priority",st,BPL-ET,high,afternoon
"track circuit fault on Agra to Kanpur in the pre-dawn hours , whenever convenient a 1h day after tomorrow",engg,AGC-CNB,low,early_morning
OHE inspection required near near Prayagraj next saturday during the morning,trd,ALD-MGS,medium,morning
route relay interlocking check on CNB-ALD a 4h in a week,st,CNB-ALD,medium,unspecified
"We need to need OHE inspection on Agra Cantt section, minor",trd,MTJ-AGC,low,unspecified
"signal circuit testing on near Kanpur overnight , whenever convenient a 4h day after tomorrow",st,CNB-ALD,low,night
Please plan overhead line repair on New Delhi to Mathura next wednesday,trd,NDLS-MTJ,medium,unspecified
rail welding repair on Itarsi section early morning a 4h in 3 days,engg,BPL-ET,medium,early_morning
"Please a 4h OHE inspection on the Agra-Kanpur stretch next tuesday before dawn, top priority",trd,AGC-CNB,critical,early_morning
"bridge inspection on Kanpur to Allahabad during the evening , urgent a 2 hour next friday",engg,CNB-ALD,critical,evening
"Can you schedule schedule a 4h overhead line repair day after tomorrow during the afternoon on MTJ-AGC, critical",trd,MTJ-AGC,critical,afternoon
"traction transformer check on CNB-ALD next monday during the morning, whenever convenient",trd,CNB-ALD,low,morning
"Requesting to a 4h rail fracture repair on the Kanpur-Prayagraj stretch day after tomorrow during the evening, high priority",engg,CNB-ALD,high,evening
"catenary wire repair on Prayagraj section in the evening , minor a 2h today",trd,CNB-ALD,low,evening
"Can you schedule plan catenary wire repair on CNB-ALD during the evening today, non-urgent",trd,CNB-ALD,low,evening
"plan auto tensioning device check on BPL-ET in the pre-dawn hours this weekend, high priority",trd,BPL-ET,high,early_morning
"plan signal failure attention on AGC-CNB in the evening next saturday, critical",st,AGC-CNB,critical,evening
"block section telephone repair on NDLS-MTJ during the morning , asap a 1h next thursday",st,NDLS-MTJ,critical,morning
Kindly plan track tamping on AGC-CNB in the pre-dawn hours next wednesday,engg,AGC-CNB,medium,early_morning
"Please schedule optical fiber repair tomorrow on the Prayagraj-Mughalsarai stretch, high priority",st,ALD-MGS,high,unspecified
"We need to a 3h block section telephone repair on Mathura to Agra this weekend in the morning, as soon as possible",st,MTJ-AGC,high,morning
"pantograph inspection on Kanpur Central section in the afternoon , priority a 4h day after tomorrow",trd,AGC-CNB,high,afternoon
Requesting to plan sleeper replacement on MTJ-AGC next friday,engg,MTJ-AGC,medium,unspecified
need catenary wire repair on Kanpur to Allahabad next friday in the afternoon,trd,CNB-ALD,medium,afternoon
"Kindly schedule a 2h sleeper replacement next monday in the morning on New Delhi-Ghaziabad stretch, routine",engg,NDLS-MTJ,low,morning
"Please plan rail grinding on NDLS-MTJ in the afternoon in 3 days, low priority",engg,NDLS-MTJ,low,afternoon
"Can you schedule a 2h pantograph inspection on the Pandit Deen Dayal Upadhyaya Jn section next thursday during the morning, asap",trd,ALD-MGS,critical,morning
"Please need ballast renewal on Kanpur Central section next wednesday, as soon as possible",engg,AGC-CNB,high,unspecified
"Requesting to need rail joint repair on Allahabad to Mughalsarai during the afternoon, important",engg,ALD-MGS,high,afternoon
"We need to plan OHE snag rectification on the Mathura-Agra stretch before dawn next monday, whenever convenient",trd,MTJ-AGC,low,early_morning
"Kindly a 2 hour block instrument check on the Kanpur-Prayagraj stretch day after tomorrow, as soon as possible",st,CNB-ALD,high,unspecified
"Requesting to need traction substation check on New Delhi-Ghaziabad stretch in the pre-dawn hours, high priority",trd,NDLS-MTJ,high,early_morning
"Can you schedule schedule circuit breaker testing next tuesday in the afternoon on Ghaziabad section, priority",trd,NDLS-MTJ,high,afternoon
OHE inspection on Itarsi section a 2 hour next friday,trd,BPL-ET,medium,unspecified
feeder cable maintenance required near MTJ-AGC during the evening,trd,MTJ-AGC,medium,evening
"Kindly schedule a 2h bridge inspection next wednesday during the morning on near New Delhi, high priority",engg,NDLS-MTJ,high,morning
"We need to a 3h track patrolling on the Bhopal-Itarsi stretch next wednesday in the morning, low priority",engg,BPL-ET,low,morning
Requesting to schedule a 2h signal maintenance in the morning on the Pandit Deen Dayal Upadhyaya Jn section,st,ALD-MGS,medium,morning
Whenever convenient telecom cable repair required near NDLS-MTJ next thursday early morning,st,NDLS-MTJ,low,early_morning
"Kindly need formation strengthening on CNB-ALD next tuesday before dawn, as soon as possible",engg,CNB-ALD,high,early_morning
"point machine repair on near Prayagraj , immediately a 1h tonight",st,ALD-MGS,critical,unspecified
"signal maintenance on Agra to Kanpur in the morning , critical a 2 hour tonight",st,AGC-CNB,critical,morning
"signal maintenance on Mathura to Agra in the midnight window , minor a 3h next wednesday",st,MTJ-AGC,low,night
"Please schedule catenary wire repair in 3 days at night on Kanpur Central section, low priority",trd,AGC-CNB,low,night
"Requesting to a 3h level crossing signal check on New Delhi-Ghaziabad stretch next tuesday, high priority",st,NDLS-MTJ,high,unspecified
"Requesting to plan relay room maintenance on near Agra in the afternoon next friday, routine",st,AGC-CNB,low,afternoon
Requesting to a 2 hour track tamping on AGC-CNB tomorrow,engg,AGC-CNB,medium,unspecified
Important traction transformer check required near the Prayagraj-Mughalsarai stretch tomorrow in the evening,trd,ALD-MGS,high,evening
Routine rail grinding required near Mathura to Agra today in the evening,engg,MTJ-AGC,low,evening
"level crossing signal check on Agra to Kanpur during the afternoon , as soon as possible a 3h",st,AGC-CNB,high,afternoon
schedule a 2h rail grinding tomorrow during the morning on near New Delhi,engg,NDLS-MTJ,medium,morning
track inspection required near New Delhi-Ghaziabad stretch day after tomorrow during the morning,engg,NDLS-MTJ,medium,morning
Requesting to plan rail grinding on near Kanpur at night next saturday,engg,CNB-ALD,medium,night
We need to a 3h bridge inspection on near Agra tomorrow,engg,AGC-CNB,medium,unspecified
"We need to a 4h ballast renewal on the Bhopal-Itarsi stretch tomorrow in the evening, urgent",engg,BPL-ET,critical,evening
schedule a 1h sleeper replacement this weekend in the pre-dawn hours on near Prayagraj,engg,ALD-MGS,medium,early_morning
track geometry check required near near Prayagraj next tuesday in the afternoon,engg,ALD-MGS,medium,afternoon
Requesting to schedule insulator cleaning next friday in the morning on New Delhi to Mathura,trd,NDLS-MTJ,medium,morning
Critical auto tensioning device check required near Prayagraj section next thursday during the afternoon,trd,CNB-ALD,critical,afternoon
"plan pantograph inspection on Mathura to Agra in the evening next friday, critical",trd,MTJ-AGC,critical,evening
Can you schedule a 2h level crossing signal check on the Bhopal-Itarsi stretch this weekend before dawn,st,BPL-ET,medium,early_morning
"Kindly a 1h track tamping on the Delhi-Mathura corridor day after tomorrow late at night, as soon as possible",engg,NDLS-MTJ,high,night
"Kindly need feeder cable maintenance on the Mathura-Agra stretch next saturday, urgent",trd,MTJ-AGC,critical,unspecified
"Requesting to track patrolling on near Prayagraj next monday during the evening, priority",engg,ALD-MGS,high,evening
As soon as possible axle counter testing required near near Bhopal this weekend at night,st,BPL-ET,high,night
"pantograph inspection on the Bhopal-Itarsi stretch before dawn , priority a 1h day after tomorrow",trd,BPL-ET,high,early_morning
Minor point machine repair required near Kanpur to Allahabad today before dawn,st,CNB-ALD,low,early_morning
"Please schedule a 2h track circuit fault on Mathura to Agra, low priority",engg,MTJ-AGC,low,unspecified
Critical signal circuit testing required near Allahabad to Mughalsarai tomorrow in the midnight window,st,ALD-MGS,critical,night
"track patrolling on Allahabad to Mughalsarai next tuesday in the midnight window, asap",engg,ALD-MGS,critical,night
"OHE inspection on Mathura to Agra next friday in the pre-dawn hours, an emergency",trd,MTJ-AGC,critical,early_morning
"Kindly need traction transformer check on AGC-CNB in a week during the afternoon, important",trd,AGC-CNB,high,afternoon
Kindly a 3h point machine repair on MTJ-AGC today at night,st,MTJ-AGC,medium,night
"Please need auto tensioning device check on Kanpur to Allahabad next tuesday late at night, critical",trd,CNB-ALD,critical,night
"Kindly need pantograph inspection on Agra Cantt section tomorrow early morning, immediately",trd,MTJ-AGC,critical,early_morning
Can you schedule need deep screening on AGC-CNB tonight late at night,engg,AGC-CNB,medium,night
As soon as possible catenary wire repair required near Itarsi section next monday during the evening,trd,BPL-ET,high,evening
Critical traction motor check required near AGC-CNB next monday,trd,AGC-CNB,critical,unspecified
"Kindly schedule OHE snag rectification tonight during the afternoon on CNB-ALD, asap",trd,CNB-ALD,critical,afternoon
broken rail repair on near Kanpur during the afternoon a 2 hour this weekend,engg,CNB-ALD,medium,afternoon
"We need to plan point machine repair on Bhopal to Itarsi during the evening next thursday, whenever convenient",st,BPL-ET,low,evening
"auto tensioning device check on Agra Cantt section , asap a 3h next thursday",trd,MTJ-AGC,critical,unspecified
We need to schedule a 3h track patrolling next monday early morning on New Delhi to Mathura,engg,NDLS-MTJ,medium,early_morning
As soon as possible track inspection required near near Agra in a week in the afternoon,engg,AGC-CNB,high,afternoon
"track tamping on MTJ-AGC , high priority a 4h next tuesday",engg,MTJ-AGC,high,unspecified
"Can you schedule schedule a quick telecom cable repair next wednesday in the evening on New Delhi-Ghaziabad stretch, top priority",st,NDLS-MTJ,critical,evening
"We need to schedule a quick ballast renewal next friday at night on Agra to Kanpur, critical",engg,AGC-CNB,critical,night
rail welding repair on Bhopal to Itarsi during the afternoon a quick next wednesday,engg,BPL-ET,medium,afternoon
Top priority rail grinding required near New Delhi to Mathura next thursday late at night,engg,NDLS-MTJ,critical,night
Kindly a 1h signal circuit testing on the Kanpur-Prayagraj stretch next tuesday,st,CNB-ALD,medium,unspecified
"Requesting to plan overhead line repair on Mathura to Agra late at night next tuesday, non-urgent",trd,MTJ-AGC,low,night
"Please a 2 hour auto tensioning device check on New Delhi-Ghaziabad stretch in a week during the morning, whenever convenient",trd,NDLS-MTJ,low,morning
Kindly a 3h signal circuit testing on Kanpur to Allahabad next monday at night,st,CNB-ALD,medium,night
"Kindly schedule a quick rail grinding in the pre-dawn hours on the Mathura-Agra stretch, urgent",engg,MTJ-AGC,critical,early_morning
"We need to a quick feeder cable maintenance on BPL-ET next friday at night, as soon as possible",trd,BPL-ET,high,night
An emergency bridge inspection required near near New Delhi next thursday during the morning,engg,NDLS-MTJ,critical,morning
Please a quick traction motor check on MTJ-AGC next thursday,trd,MTJ-AGC,medium,unspecified
"OHE snag rectification on Prayagraj section early morning , an emergency a 2 hour next saturday",trd,CNB-ALD,critical,early_morning
"Please need track patrolling on Mathura to Agra next wednesday during the evening, important",engg,MTJ-AGC,high,evening
"Can you schedule plan telecom cable repair on the Pandit Deen Dayal Upadhyaya Jn section tomorrow, top priority",st,ALD-MGS,critical,unspecified
Urgent ballast renewal required near the Pandit Deen Dayal Upadhyaya Jn section next thursday before dawn,engg,ALD-MGS,critical,early_morning
Kindly a 2h rail welding repair on Agra to Kanpur next friday overnight,engg,AGC-CNB,medium,night
plan ballast renewal on Itarsi section during the morning next saturday,engg,BPL-ET,medium,morning
"Can you schedule plan signal maintenance on near Agra in the evening next wednesday, whenever convenient",st,AGC-CNB,low,evening
"telecom cable repair on New Delhi-Ghaziabad stretch during the afternoon , non-urgent next saturday",st,NDLS-MTJ,low,afternoon
Critical track patrolling required near the Mathura-Agra stretch next tuesday overnight,engg,MTJ-AGC,critical,night
"We need to a 3h track tamping on Prayagraj section next saturday during the afternoon, an emergency",engg,CNB-ALD,critical,afternoon
"Kindly need ballast renewal on BPL-ET next monday before dawn, whenever convenient",engg,BPL-ET,low,early_morning
"We need to schedule a 1h circuit breaker testing next thursday in the afternoon on Agra Cantt section, an emergency",trd,MTJ-AGC,critical,afternoon
Asap feeder cable maintenance required near the Agra-Kanpur stretch in 3 days in the afternoon,trd,AGC-CNB,critical,afternoon
"need track inspection on MTJ-AGC today in the morning, minor",engg,MTJ-AGC,low,morning
"a 1h interlocking check on Kanpur Central section day after tomorrow in the pre-dawn hours, non-urgent",st,AGC-CNB,low,early_morning
"Requesting to schedule a 3h telecom cable repair next wednesday during the afternoon on Agra to Kanpur, as soon as possible",st,AGC-CNB,high,afternoon
"Requesting to plan overhead line repair on the Agra-Kanpur stretch in the evening today, routine",trd,AGC-CNB,low,evening
"Kindly a quick catenary wire repair on near Agra next wednesday in the afternoon, critical",trd,AGC-CNB,critical,afternoon
"Can you schedule a 4h overhead line repair on the Agra-Kanpur stretch next wednesday in the pre-dawn hours, immediately",trd,AGC-CNB,critical,early_morning
"Kindly schedule a 1h track tamping next tuesday in the pre-dawn hours on Bhopal to Itarsi, non-urgent",engg,BPL-ET,low,early_morning
rail joint repair on ALD-MGS overnight a 3h day after tomorrow,engg,ALD-MGS,medium,night
"Kindly a quick signal circuit testing on Prayagraj section next thursday during the morning, minor",st,CNB-ALD,low,morning
"rail welding repair on near Kanpur during the evening , important a 2h next tuesday",engg,CNB-ALD,high,evening
Urgent overhead line repair required near near Bhopal next saturday at night,trd,BPL-ET,critical,night
"We need to schedule a 2h rail welding repair next saturday in the afternoon on the Bhopal-Itarsi stretch, top priority",engg,BPL-ET,critical,afternoon
Routine broken rail repair required near the Kanpur-Prayagraj stretch today before dawn,engg,CNB-ALD,low,early_morning
"Requesting to need traction transformer check on Itarsi section day after tomorrow in the pre-dawn hours, an emergency",trd,BPL-ET,critical,early_morning
"Kindly plan block section telephone repair on Kanpur to Allahabad at night, immediately",st,CNB-ALD,critical,night
"power supply inspection on near Agra in the pre-dawn hours , priority a 1h next tuesday",trd,AGC-CNB,high,early_morning
"We need to need block section telephone repair on the Delhi-Mathura corridor this weekend, low priority",st,NDLS-MTJ,low,unspecified
Top priority catenary wire repair required near Kanpur to Allahabad today in the pre-dawn hours,trd,CNB-ALD,critical,early_morning
pantograph inspection on Allahabad to Mughalsarai at night a 2 hour,trd,ALD-MGS,medium,night
Asap catenary wire repair required near the Delhi-Mathura corridor this weekend in the afternoon,trd,NDLS-MTJ,critical,afternoon
"OHE wire tensioning on Agra to Kanpur in the morning , important a quick next thursday",trd,AGC-CNB,high,morning
Can you schedule a 4h signal failure attention on AGC-CNB in the pre-dawn hours,st,AGC-CNB,medium,early_morning
Critical rail welding repair required near ALD-MGS tonight during the morning,engg,ALD-MGS,critical,morning
"Requesting to a 2 hour block section telephone repair on Agra Cantt section today in the midnight window, immediately",st,MTJ-AGC,critical,night
rail joint repair on Prayagraj section early morning day after tomorrow,engg,CNB-ALD,medium,early_morning
"Can you schedule a 3h OHE wire tensioning on ALD-MGS next friday during the morning, an emergency",trd,ALD-MGS,critical,morning
"Can you schedule plan sleeper replacement on near Bhopal in the evening next thursday, critical",engg,BPL-ET,critical,evening
"track tamping on AGC-CNB in the morning , high priority tomorrow",engg,AGC-CNB,high,morning
High priority rail grinding required near Kanpur Central section next wednesday during the morning,engg,AGC-CNB,high,morning
"Can you schedule plan overhead line repair on near Mathura next tuesday, important",trd,MTJ-AGC,high,unspecified
"Can you schedule a 2h point machine repair on Agra Cantt section in a week during the afternoon, whenever convenient",st,MTJ-AGC,low,afternoon
plan overhead line repair on Kanpur to Allahabad next wednesday,trd,CNB-ALD,medium,unspecified
optical fiber repair required near near Kanpur tonight at night,st,CNB-ALD,medium,night
"a 2h bridge inspection on MTJ-AGC in 3 days in the morning, as soon as possible",engg,MTJ-AGC,high,morning
route relay interlocking check required near New Delhi-Ghaziabad stretch tomorrow during the afternoon,st,NDLS-MTJ,medium,afternoon
"Requesting to a 3h optical fiber repair on the Mathura-Agra stretch this weekend during the evening, high priority",st,MTJ-AGC,high,evening
OHE wire tensioning required near Prayagraj section early morning,trd,CNB-ALD,medium,early_morning
"We need to schedule a 3h rail grinding next monday in the pre-dawn hours on CNB-ALD, immediately",engg,CNB-ALD,critical,early_morning
"plan OHE inspection on AGC-CNB in the morning in a week, immediately",trd,AGC-CNB,critical,morning
"Kindly need OHE inspection on AGC-CNB this weekend in the midnight window, immediately",trd,AGC-CNB,critical,night
signal cable inspection required near the Delhi-Mathura corridor next tuesday in the evening,st,NDLS-MTJ,medium,evening
schedule a quick block section telephone repair late at night on BPL-ET,st,BPL-ET,medium,night
"Kindly plan bridge inspection on Itarsi section late at night this weekend, important",engg,BPL-ET,high,night
Kindly need formation strengthening on BPL-ET day after tomorrow at night,engg,BPL-ET,medium,night
"Kindly schedule a 1h power supply inspection today during the evening on near Kanpur, important",trd,CNB-ALD,high,evening
Asap auto tensioning device check required near Prayagraj section next friday in the evening,trd,CNB-ALD,critical,evening
"Kindly plan telecom cable repair on Itarsi section during the morning this weekend, high priority",st,BPL-ET,high,morning
"Requesting to schedule rail joint repair tomorrow in the afternoon on Bhopal to Itarsi, urgent",engg,BPL-ET,critical,afternoon
"Can you schedule plan block section telephone repair on Kanpur to Allahabad in the morning in a week, routine",st,CNB-ALD,low,morning
"We need to plan signal failure attention on Kanpur Central section early morning next monday, high priority",st,AGC-CNB,high,early_morning
"feeder cable maintenance on Kanpur to Allahabad in the afternoon , an emergency a 2h next saturday",trd,CNB-ALD,critical,afternoon
Critical ballast renewal required near CNB-ALD tonight in the midnight window,engg,CNB-ALD,critical,night
Please schedule a 2 hour insulator cleaning next monday in the evening on near Kanpur,trd,CNB-ALD,medium,evening
level crossing signal check on the Kanpur-Prayagraj stretch during the afternoon next monday,st,CNB-ALD,medium,afternoon
Can you schedule plan route relay interlocking check on Kanpur to Allahabad in the afternoon next friday,st,CNB-ALD,medium,afternoon
"level crossing signal check on CNB-ALD tomorrow early morning, top priority",st,CNB-ALD,critical,early_morning
An emergency pantograph inspection required near MTJ-AGC this weekend in the pre-dawn hours,trd,MTJ-AGC,critical,early_morning
"interlocking check on near Mathura early morning , low priority a 4h next monday",st,MTJ-AGC,low,early_morning
"Requesting to schedule a 2h pantograph inspection this weekend during the evening on BPL-ET, critical",trd,BPL-ET,critical,evening
Important bridge inspection required near BPL-ET tonight during the morning,engg,BPL-ET,high,morning
plan telecom cable repair on New Delhi to Mathura in the pre-dawn hours in 3 days,st,NDLS-MTJ,medium,early_morning
"plan relay room maintenance on ALD-MGS in the afternoon, low priority",st,ALD-MGS,low,afternoon
"Requesting to need pantograph inspection on the Mathura-Agra stretch day after tomorrow at night, important",trd,MTJ-AGC,high,night
Kindly need relay room maintenance on near Bhopal next wednesday during the morning,st,BPL-ET,medium,morning
"traction motor check on the Prayagraj-Mughalsarai stretch in the morning , routine a 2 hour tonight",trd,ALD-MGS,low,morning
Priority bridge inspection required near CNB-ALD this weekend in the morning,engg,CNB-ALD,high,morning
Non-urgent traction substation check required near the Agra-Kanpur stretch next saturday before dawn,trd,AGC-CNB,low,early_morning
High priority overhead line repair required near near Agra in a week during the evening,trd,AGC-CNB,high,evening
"Please plan optical fiber repair on near Agra in the afternoon next wednesday, urgent",st,AGC-CNB,critical,afternoon
optical fiber repair required near Allahabad to Mughalsarai in 3 days in the morning,st,ALD-MGS,medium,morning
"track tamping on the Agra-Kanpur stretch during the afternoon , urgent a 2 hour",engg,AGC-CNB,critical,afternoon
Kindly schedule a 4h track inspection today in the evening on Agra to Kanpur,engg,AGC-CNB,medium,evening
"feeder cable maintenance on the Kanpur-Prayagraj stretch early morning , an emergency a 2h next wednesday",trd,CNB-ALD,critical,early_morning
"overhead line repair on Prayagraj section during the morning , an emergency a 3h tonight",trd,CNB-ALD,critical,morning
"Kindly need signal failure attention on Allahabad to Mughalsarai next thursday before dawn, as soon as possible",st,ALD-MGS,high,early_morning
"rail grinding on the Pandit Deen Dayal Upadhyaya Jn section in the afternoon , priority a 3h tonight",engg,ALD-MGS,high,afternoon
"We need to a 2 hour level crossing signal check on near Bhopal next tuesday during the afternoon, minor",st,BPL-ET,low,afternoon
"Please plan OHE inspection on CNB-ALD in the pre-dawn hours next thursday, as soon as possible",trd,CNB-ALD,high,early_morning
Low priority power supply inspection required near AGC-CNB next wednesday in the afternoon,trd,AGC-CNB,low,afternoon
An emergency rail fracture repair required near near New Delhi in a week in the evening,engg,NDLS-MTJ,critical,evening
Top priority traction motor check required near NDLS-MTJ tonight in the pre-dawn hours,trd,NDLS-MTJ,critical,early_morning
track tamping on Bhopal to Itarsi a 2 hour in 3 days,engg,BPL-ET,medium,unspecified
High priority rail fracture repair required near NDLS-MTJ tomorrow in the evening,engg,NDLS-MTJ,high,evening
"Please schedule a 2 hour track circuit fault next tuesday overnight on the Pandit Deen Dayal Upadhyaya Jn section, routine",engg,ALD-MGS,low,night
"pantograph inspection on the Pandit Deen Dayal Upadhyaya Jn section in the pre-dawn hours , immediately a 1h",trd,ALD-MGS,critical,early_morning
"plan feeder cable maintenance on the Mathura-Agra stretch during the afternoon day after tomorrow, priority",trd,MTJ-AGC,high,afternoon
"We need to schedule a 2 hour telecom cable repair next wednesday on near Bhopal, whenever convenient",st,BPL-ET,low,unspecified
"rail grinding on CNB-ALD during the evening , routine a 4h",engg,CNB-ALD,low,evening
"Please need circuit breaker testing on near New Delhi day after tomorrow, priority",trd,NDLS-MTJ,high,unspecified
Please need auto tensioning device check on Allahabad to Mughalsarai tonight in the evening,trd,ALD-MGS,medium,evening
Low priority traction transformer check required near near Prayagraj next tuesday during the morning,trd,ALD-MGS,low,morning
Kindly plan relay room maintenance on Allahabad to Mughalsarai next friday,st,ALD-MGS,medium,unspecified
"Requesting to auto tensioning device check on CNB-ALD tomorrow, urgent",trd,CNB-ALD,critical,unspecified
"We need to a 2 hour signal circuit testing on near Kanpur this weekend late at night, important",st,CNB-ALD,high,night
"deep screening on AGC-CNB in the midnight window , top priority a 2h in 3 days",engg,AGC-CNB,critical,night
"Can you schedule plan formation strengthening on near Mathura during the afternoon tonight, top priority",engg,MTJ-AGC,critical,afternoon
"We need to plan track tamping on Kanpur Central section early morning this weekend, minor",engg,AGC-CNB,low,early_morning
"We need to plan rail fracture repair on ALD-MGS late at night, critical",engg,ALD-MGS,critical,night
"We need to plan auto tensioning device check on near New Delhi early morning next friday, priority",trd,NDLS-MTJ,high,early_morning
"plan telecom cable repair on the Prayagraj-Mughalsarai stretch during the afternoon next saturday, high priority",st,ALD-MGS,high,afternoon
"Can you schedule need ballast renewal on near Prayagraj in the afternoon, urgent",engg,ALD-MGS,critical,afternoon
"Can you schedule plan track tamping on near Agra late at night day after tomorrow, minor",engg,AGC-CNB,low,night
plan track circuit fault on the Prayagraj-Mughalsarai stretch in the evening next thursday,engg,ALD-MGS,medium,evening
"schedule a 2h block instrument check tomorrow during the afternoon on BPL-ET, an emergency",st,BPL-ET,critical,afternoon
"sleeper replacement on near Bhopal in the afternoon , critical a 3h in 3 days",engg,BPL-ET,critical,afternoon
"a 4h bridge inspection on Ghaziabad section day after tomorrow in the afternoon, asap",engg,NDLS-MTJ,critical,afternoon
Please a quick rail welding repair on Allahabad to Mughalsarai in 3 days during the afternoon,engg,ALD-MGS,medium,afternoon
"track inspection on the Mathura-Agra stretch during the evening , routine a 2 hour",engg,MTJ-AGC,low,evening
"Kindly schedule a 2h track geometry check next friday in the afternoon on Itarsi section, high priority",engg,BPL-ET,high,afternoon
"Requesting to plan signal cable inspection on New Delhi to Mathura in the evening tomorrow, high priority",st,NDLS-MTJ,high,evening
"Please need OHE inspection on New Delhi-Ghaziabad stretch tonight at night, high priority",trd,NDLS-MTJ,high,night
"Requesting to a 2 hour bridge inspection on the Agra-Kanpur stretch next tuesday in the pre-dawn hours, as soon as possible",engg,AGC-CNB,high,early_morning
"traction substation check on near New Delhi , priority a 1h in a week",trd,NDLS-MTJ,high,unspecified
"telecom cable repair on near Prayagraj in the morning , as soon as possible a 2h",st,ALD-MGS,high,morning
"Can you schedule schedule a 4h circuit breaker testing day after tomorrow in the evening on AGC-CNB, important",trd,AGC-CNB,high,evening
"We need to a quick bridge inspection on Bhopal to Itarsi next saturday, critical",engg,BPL-ET,critical,unspecified
rail welding repair required near near New Delhi in the morning,engg,NDLS-MTJ,medium,morning
Routine signal maintenance required near Prayagraj section next tuesday early morning,st,CNB-ALD,low,early_morning
"Kindly need OHE inspection on near Bhopal next friday in the morning, asap",trd,BPL-ET,critical,morning
Whenever convenient feeder cable maintenance required near near New Delhi in 3 days,trd,NDLS-MTJ,low,unspecified
"OHE wire tensioning on the Agra-Kanpur stretch during the evening , whenever convenient a 2 hour tonight",trd,AGC-CNB,low,evening
ballast renewal required near near New Delhi day after tomorrow in the pre-dawn hours,engg,NDLS-MTJ,medium,early_morning
deep screening on near Agra a 2h today,engg,AGC-CNB,medium,unspecified
"need block section telephone repair on Agra to Kanpur in the midnight window, whenever convenient",st,AGC-CNB,low,night
"Can you schedule need signal circuit testing on Allahabad to Mughalsarai day after tomorrow in the evening, routine",st,ALD-MGS,low,evening
Please schedule a 4h rail welding repair tomorrow in the afternoon on near Mathura,engg,MTJ-AGC,medium,afternoon
"We need to plan OHE wire tensioning on New Delhi to Mathura late at night next saturday, top priority",trd,NDLS-MTJ,critical,night
"Kindly plan signal maintenance on Allahabad to Mughalsarai during the morning, top priority",st,ALD-MGS,critical,morning
schedule a 3h OHE inspection today in the midnight window on Allahabad to Mughalsarai,trd,ALD-MGS,medium,night
"need bridge inspection on near Prayagraj day after tomorrow, routine",engg,ALD-MGS,low,unspecified
"Please need OHE snag rectification on near Agra next friday during the afternoon, minor",trd,AGC-CNB,low,afternoon
"rail grinding on the Mathura-Agra stretch in the evening , urgent a 2h in 3 days",engg,MTJ-AGC,critical,evening
Priority insulator cleaning required near near Prayagraj next saturday in the evening,trd,ALD-MGS,high,evening
"plan traction substation check on New Delhi to Mathura in a week, non-urgent",trd,NDLS-MTJ,low,unspecified
"Kindly schedule a 3h signal circuit testing in a week in the morning on the Prayagraj-Mughalsarai stretch, minor",st,ALD-MGS,low,morning
"axle counter testing on Agra to Kanpur , minor a 1h this weekend",st,AGC-CNB,low,unspecified
An emergency telecom cable repair required near near New Delhi next friday,st,NDLS-MTJ,critical,unspecified
"Kindly need deep screening on the Mathura-Agra stretch next friday, priority",engg,MTJ-AGC,high,unspecified
"Please schedule a 4h interlocking check next wednesday in the pre-dawn hours on Ghaziabad section, non-urgent",st,NDLS-MTJ,low,early_morning
"Please signal maintenance on MTJ-AGC this weekend during the evening, minor",st,MTJ-AGC,low,evening
Critical signal maintenance required near Bhopal to Itarsi next tuesday during the evening,st,BPL-ET,critical,evening
"insulator cleaning on near Mathura in the morning , an emergency this weekend",trd,MTJ-AGC,critical,morning
"Requesting to plan relay room maintenance on Prayagraj section in the afternoon this weekend, minor",st,CNB-ALD,low,afternoon
traction substation check on MTJ-AGC during the afternoon a 1h next wednesday,trd,MTJ-AGC,medium,afternoon
Can you schedule plan pantograph inspection on New Delhi to Mathura in the morning next friday,trd,NDLS-MTJ,medium,morning
auto tensioning device check on near Kanpur in the morning tonight,trd,CNB-ALD,medium,morning
Kindly need track geometry check on near Prayagraj tonight during the morning,engg,ALD-MGS,medium,morning
Kindly schedule a 4h relay room maintenance tomorrow in the evening on Mathura to Agra,st,MTJ-AGC,medium,evening
"Please a 3h track tamping on the Prayagraj-Mughalsarai stretch next thursday in the evening, high priority",engg,ALD-MGS,high,evening
"Can you schedule schedule a 2 hour block section telephone repair this weekend during the evening on near New Delhi, as soon as possible",st,NDLS-MTJ,high,evening
"Please need block instrument check on New Delhi-Ghaziabad stretch day after tomorrow during the afternoon, immediately",st,NDLS-MTJ,critical,afternoon
"Please plan OHE wire tensioning on near New Delhi in the pre-dawn hours today, top priority",trd,NDLS-MTJ,critical,early_morning
"block instrument check on the Kanpur-Prayagraj stretch , top priority a 2 hour",st,CNB-ALD,critical,unspecified
Top priority traction motor check required near the Mathura-Agra stretch tomorrow,trd,MTJ-AGC,critical,unspecified
"Kindly schedule a 2 hour rail joint repair this weekend in the afternoon on near Mathura, low priority",engg,MTJ-AGC,low,afternoon
